Sample,Gene,Rep,Expression
Tg2a -Dox,Nanog,1,2.17347
Tg2a -Dox,Esrrb,1,0.282241
Tg2a -Dox,Nanog,2,2.648178
Tg2a -Dox,Esrrb,2,0.265172
Tg2a -Dox,Nanog,3,2.703822
Tg2a -Dox,Esrrb,3,0.082184
Tg2a +Dox,Nanog,1,2.411616
Tg2a +Dox,Esrrb,1,0.291183
Tg2a +Dox,Nanog,2,2.666597
Tg2a +Dox,Esrrb,2,0.461691
Tg2a +Dox,Nanog,3,3.363586
Tg2a +Dox,Esrrb,3,0.15283
iN -Dox,Nanog,1,3.5801
iN -Dox,Esrrb,1,0.484645
iN -Dox,Nanog,2,2.639016
iN -Dox,Esrrb,2,0.191445
iN -Dox,Nanog,3,1.872544
iN -Dox,Esrrb,3,0.157127
iN +Dox,Nanog,1,24.59
iN +Dox,Esrrb,1,3.328795
iN +Dox,Nanog,2,62.01727
iN +Dox,Esrrb,2,1.911891
iN +Dox,Nanog,3,78.52064
iN +Dox,Esrrb,3,2.305373
iEc1 -Dox,Nanog,1,0.747425
iEc1 -Dox,Esrrb,1,0.117848
iEc1 -Dox,Nanog,2,0.702222
iEc1 -Dox,Esrrb,2,0.054221
iEc1 -Dox,Nanog,3,1.414214
iEc1 -Dox,Esrrb,3,0.095391
iEc1 +Dox,Nanog,1,5.151527
iEc1 +Dox,Esrrb,1,5.223439
iEc1 +Dox,Nanog,2,4.756828
iEc1 +Dox,Esrrb,2,12.33769
iEc1 +Dox,Nanog,3,4.40762
iEc1 +Dox,Esrrb,3,6.453134
iEc10 -Dox,Nanog,1,0.659754
iEc10 -Dox,Esrrb,1,0.189465
iEc10 -Dox,Nanog,2,0.436786
iEc10 -Dox,Esrrb,2,0.204476
iEc10 -Dox,Nanog,3,1.918528
iEc10 -Dox,Esrrb,3,0.392292
iEc10 +Dox,Nanog,1,2.751084
iEc10 +Dox,Esrrb,1,12.50991
iEc10 +Dox,Nanog,2,1.986185
iEc10 +Dox,Esrrb,2,15.94464
iEc10 +Dox,Nanog,3,6.543216
iEc10 +Dox,Esrrb,3,9.513657
Tg2a -Dox,Blimp1,1,0.012387
Tg2a -Dox,Prdm14,1,0.015625
Tg2a -Dox,Ap2r,1,0.157127
Tg2a -Dox,Blimp1,2,0.013276
Tg2a -Dox,Prdm14,2,0.024181
Tg2a -Dox,Ap2r,2,0.145592
Tg2a -Dox,Blimp1,3,0.009992
Tg2a -Dox,Prdm14,3,0.008173
Tg2a -Dox,Ap2r,3,0.091505
Tg2a +Dox,Blimp1,1,0.020263
Tg2a +Dox,Prdm14,1,0.030713
Tg2a +Dox,Ap2r,1,0.122853
Tg2a +Dox,Blimp1,2,0.020123
Tg2a +Dox,Prdm14,2,0.039282
Tg2a +Dox,Ap2r,2,0.205185
Tg2a +Dox,Blimp1,3,0.015788
Tg2a +Dox,Prdm14,3,0.011087
Tg2a +Dox,Ap2r,3,0.105477
iN -Dox,Blimp1,1,0.05059
iN -Dox,Prdm14,1,0.073049
iN -Dox,Ap2r,1,0.48971
iN -Dox,Blimp1,2,0.022097
iN -Dox,Prdm14,2,0.031907
iN -Dox,Ap2r,2,0.247414
iN -Dox,Blimp1,3,0.029977
iN -Dox,Prdm14,3,0.036524
iN -Dox,Ap2r,3,0.291183
iN +Dox,Blimp1,1,0.493116
iN +Dox,Prdm14,1,0.408951
iN +Dox,Ap2r,1,2.818642
iN +Dox,Blimp1,2,0.335643
iN +Dox,Prdm14,2,0.403321
iN +Dox,Ap2r,2,2.121375
iN +Dox,Blimp1,3,0.965936
iN +Dox,Prdm14,3,0.588453
iN +Dox,Ap2r,3,2.818642
iEc1 -Dox,Blimp1,1,0.013322
iEc1 -Dox,Prdm14,1,0.016232
iEc1 -Dox,Ap2r,1,0.191445
iEc1 -Dox,Blimp1,2,0.00879
iEc1 -Dox,Prdm14,2,0.013139
iEc1 -Dox,Ap2r,2,0.218393
iEc1 -Dox,Blimp1,3,0.034078
iEc1 -Dox,Prdm14,3,0.004566
iEc1 -Dox,Ap2r,3,0.118668
iEc1 +Dox,Blimp1,1,0.153361
iEc1 +Dox,Prdm14,1,0.062284
iEc1 +Dox,Ap2r,1,0.82645
iEc1 +Dox,Blimp1,2,0.07966
iEc1 +Dox,Prdm14,2,0.073812
iEc1 +Dox,Ap2r,2,1.741101
iEc1 +Dox,Blimp1,3,0.106949
iEc1 +Dox,Prdm14,3,0.023601
iEc1 +Dox,Ap2r,3,0.523042
iEc10 -Dox,Blimp1,1,0.022406
iEc10 -Dox,Prdm14,1,0.016631
iEc10 -Dox,Ap2r,1,0.198196
iEc10 -Dox,Blimp1,2,0.01176
iEc10 -Dox,Prdm14,2,0.011164
iEc10 -Dox,Ap2r,2,0.265172
iEc10 -Dox,Blimp1,3,0.044502
iEc10 -Dox,Prdm14,3,0.01698
iEc10 -Dox,Ap2r,3,0.333325
iEc10 +Dox,Blimp1,1,0.046071
iEc10 +Dox,Prdm14,1,0.036272
iEc10 +Dox,Ap2r,1,0.48971
iEc10 +Dox,Blimp1,2,0.037292
iEc10 +Dox,Prdm14,2,0.075102
iEc10 +Dox,Ap2r,2,0.792784
iEc10 +Dox,Blimp1,3,0.145592
iEc10 +Dox,Prdm14,3,0.054409
iEc10 +Dox,Ap2r,3,0.699793
