Cell_line,Dox,Dbl_pos
iN c5,0,1.28
iE c1,0,0.15
iE c10,0,0.3
iN c5,0,0.13
iE c1,0,0.082
iE c10,0,0.15
iN c5,0,2.56
iE c1,0,0.33
iE c10,0,0.13
iN c5,0,0.15
iE c1,0,0.12
iE c10,0,1.66
iN c5,0,1.21
iE c1,0,0.19
iE c10,0,0.23
iN c5,0,0.97
iE c1,0,0.28
iE c10,0,1.33
iN c5,1,35.7
iE c1,1,0.55
iE c10,1,9.16
iN c5,1,14.5
iE c1,1,2.84
iE c10,1,9.04
iN c5,1,13.6
iE c1,1,18.9
iE c10,1,13.4
iN c5,1,20.8
iE c1,1,20.1
iE c10,1,52.8
iN c5,1,11.3
iE c1,1,0.52
iE c10,1,3.83
iN c5,1,44.8
iE c1,1,17.8
iE c10,1,6.03
