Sample,Gene,Rep,Expression
iN -Dox,Blimp1,1,0.143587
iN -Dox,Prdm14,1,0.210954
iN -Dox,Ap2y,1,1.010451
iN -Dox,Blimp1,2,0.019237
iN -Dox,Prdm14,2,0.020617
iN -Dox,Ap2y,2,0.084202
iN -Dox,Blimp1,3,0.078021
iN -Dox,Prdm14,3,0.154963
iN -Dox,Ap2y,3,0.410371
iN -Dox,Blimp1,4,0.013185
iN -Dox,Prdm14,4,0.015788
iN -Dox,Ap2y,4,0.065835
iN +Dox,Blimp1,1,0.615572
iN +Dox,Prdm14,1,0.82932
iN +Dox,Ap2y,1,2.566852
iN +Dox,Blimp1,2,1.569168
iN +Dox,Prdm14,2,1.30586
iN +Dox,Ap2y,2,4.213444
iN +Dox,Blimp1,3,1.301342
iN +Dox,Prdm14,3,0.923382
iN +Dox,Ap2y,3,2.928171
iN +Dox,Blimp1,4,0.798298
iN +Dox,Prdm14,4,0.721965
iN +Dox,Ap2y,4,2.257929
iEc1 -Dox,Blimp1,1,0.021717
iEc1 -Dox,Prdm14,1,0.038208
iEc1 -Dox,Ap2y,1,0.127627
iEc1 -Dox,Blimp1,2,0.047366
iEc1 -Dox,Prdm14,2,0.013936
iEc1 -Dox,Ap2y,2,0.051653
iEc1 -Dox,Blimp1,3,0.050415
iEc1 -Dox,Prdm14,3,0.008032
iEc1 -Dox,Ap2y,3,0.078292
iEc1 -Dox,Blimp1,4,0.131215
iEc1 -Dox,Prdm14,4,0.126306
iEc1 -Dox,Ap2y,4,0.622006
iEc1 +Dox,Blimp1,1,0.590496
iEc1 +Dox,Prdm14,1,0.607097
iEc1 +Dox,Ap2y,1,2.639016
iEc1 +Dox,Blimp1,2,0.524858
iEc1 +Dox,Prdm14,2,0.476319
iEc1 +Dox,Ap2y,2,1.45902
iEc1 +Dox,Blimp1,3,0.926588
iEc1 +Dox,Prdm14,3,1.01748
iEc1 +Dox,Ap2y,3,2.818642
iEc1 +Dox,Blimp1,4,0.298334
iEc1 +Dox,Prdm14,4,0.417544
iEc1 +Dox,Ap2y,4,2.514027
iEc10 -Dox,Blimp1,1,0.106949
iEc10 -Dox,Prdm14,1,0.130308
iEc10 -Dox,Ap2y,1,0.477973
iEc10 -Dox,Blimp1,2,0.077482
iEc10 -Dox,Prdm14,2,0.014528
iEc10 -Dox,Ap2y,2,0.032352
iEc10 -Dox,Blimp1,3,0.190122
iEc10 -Dox,Prdm14,3,0.208772
iEc10 -Dox,Ap2y,3,0.550953
iEc10 +Dox,Blimp1,1,0.148137
iEc10 +Dox,Prdm14,1,0.366021
iEc10 +Dox,Ap2y,1,1.585568
iEc10 +Dox,Blimp1,2,0.464902
iEc10 +Dox,Prdm14,2,0.481297
iEc10 +Dox,Ap2y,2,2.514027
iEc10 +Dox,Blimp1,3,0.385553
iEc10 +Dox,Prdm14,3,0.297302
iEc10 +Dox,Ap2y,3,1.741101
iEc10 +Dox,Blimp1,4,0.224533
iEc10 +Dox,Prdm14,4,0.304603
iEc10 +Dox,Ap2y,4,1.979313
