Sample,Rep,Blimp1,Ap2g,Prdm14,Otx2,Esrrb,Nanog
TgiN -dox 0h,2,0.162196483,0.095888286,0.013822698,0.40756093,0.713018085,2.084718515
TgiN -dox 6h,2,0.127654083,0.316691551,0.041402477,0.336237204,0.502145025,1.887520695
TgiN -dox 12h,2,0.20074997,0.21587971,0.070616792,0.284344323,0.456358768,2.795275082
TgiN -dox 24h,2,0.335819605,0.576305808,0.135051343,0.233272989,1.441774345,3.197086576
TgiN -dox 48h,2,0.257410851,1.488729272,0.384769031,0.117682609,3.569136565,6.851557774
TgiN +dox 6h,2,0.175349832,0.328769261,0.189295118,0.128388302,0.567382684,155.6471133
TgiN +dox 12h,2,0.310026804,0.433522269,0.315892028,0.163642396,1.184518591,169.0254109
TgiN +dox 24h,2,0.602871426,2.209413434,0.873924249,0.187145156,4.548607043,100.0937691
TgiN +dox 48h,2,1.17429768,5.809738101,2.164183661,0.174402381,10.99744826,127.5120403
TgiE -dox 0h,2,0.127158195,0.08677464,0.015470486,0.363320398,6.13535765,0.672037132
TgiE -dox 6h,2,0.106692744,0.282935104,0.036301937,0.34913879,7.761456646,0.284439448
TgiE -dox 12h,2,0.199966961,0.177182182,0.06097764,0.24916848,6.867691387,1.057266761
TgiE -dox 24h,2,0.270230914,0.484714728,0.085122506,0.23114001,5.564358461,1.40140654
TgiE -dox 48h,2,0.35011595,1.278035236,0.424846813,0.193572661,9.172768169,4.996279504
TgiE +dox 6h,2,0.317153702,1.178616917,0.198488276,0.279549326,801.1678997,0.738458957
TgiE +dox 12h,2,0.224687401,1.127203945,0.122735234,0.186126344,915.2138101,1.08239373
TgiE +dox 24h,2,0.211082158,0.758282425,0.087981693,0.327058571,368.0402616,0.668870955
TgiE +dox 48h,2,0.185537441,1.543571382,0.276643704,0.970188494,344.5539308,1.350083135
TgiN -dox 0h,3,0.03760397,0.020139516,0.007917729,1.329293603,0.50131852,0.676369953
TgiN -dox 6h,3,0.029699144,0.12265575,0.022477744,1.676134787,1.331515083,1.444006244
TgiN -dox 12h,3,0.051926833,0.109350493,0.030046141,1.167512716,0.86365699,1.379784737
TgiN -dox 24h,3,0.064162248,0.246863393,0.045289316,0.760058936,0.815847442,0.806326453
TgiN -dox 48h,3,0.071393875,0.446261233,0.067800837,1.134873391,2.867486779,0.740233064
TgiN +dox 6h,3,0.031343925,0.118681352,0.055659482,0.512906571,0.80332268,41.87285166
TgiN +dox 12h,3,0.048690491,0.167103703,0.102304621,0.461593577,1.516197977,37.70008763
TgiN +dox 24h,3,0.097345584,0.61818983,0.226947384,0.64280603,1.985496814,20.98722386
TgiN +dox 48h,3,0.219683657,1.546265433,0.507798283,0.262985171,3.902667013,27.08002528
TgiE -dox 0h,3,0.049016854,0.024493073,0.013261411,2.00826412,3.320901684,0.553737456
TgiE -dox 6h,3,0.025845639,0.118707715,0.020031572,0.815608025,4.086081131,0.088600461
TgiE -dox 12h,3,0.02858883,0.068019816,0.04393807,0.866188678,4.580039954,0.412716417
TgiE -dox 24h,3,0.048800886,0.180751283,0.042857183,1.37624673,4.074402309,0.539778456
TgiE -dox 48h,3,0.074623879,0.461386135,0.062938393,0.701932729,0.941853265,0.882806678
TgiE +dox 6h,3,0.133464875,0.983729532,0.125817888,1.701010155,619.6769542,0.58974726
TgiE +dox 12h,3,0.041058414,0.418017246,0.046200021,0.583218683,456.831059,0.296327032
TgiE +dox 24h,3,0.048833156,0.446550421,0.050604844,0.873439119,277.3653004,0.466884112
TgiE +dox 48h,3,0.052681592,1.054614304,0.108068223,1.292439015,103.3528857,0.595040795
TgiN -dox 0h,4,0.096604544,0.114660062,0.029994973,2.046162661,1.472607034,2.981862713
TgiN -dox 6h,4,0.08604522,0.354436051,0.060320551,1.885246224,1.19235729,3.05197091
TgiN -dox 12h,4,0.111606468,0.225850393,0.128370311,1.13907021,1.115151648,3.810230391
TgiN -dox 24h,4,0.16185546,0.355540831,0.166417382,1.096410238,1.816167248,3.387362424
TgiN -dox 48h,4,0.245211953,1.241429369,0.508887703,1.366482265,5.979728706,8.279783082
TgiN +dox 6h,4,0.111062446,0.346567113,0.249967281,1.060284683,1.314173269,205.0758299
TgiN +dox 12h,4,0.14600953,0.216299955,0.36702526,0.686847261,2.195138056,166.1111578
TgiN +dox 24h,4,0.28583084,1.147563563,0.695362758,1.130907316,5.485944303,103.4275181
TgiN +dox 48h,4,0.609272726,2.381979548,2.037448956,0.848603546,9.34575896,144.9689139
TgiE -dox 0h,4,0.061069128,0.05460763,0.018725406,2.168353594,6.589273804,0.795165342
TgiE -dox 6h,4,0.066604634,0.199202543,0.038069327,1.823384871,9.024238749,0.387889732
TgiE -dox 12h,4,0.092933705,0.126127161,0.066455194,1.192544895,6.634922669,1.465262256
TgiE -dox 24h,4,0.149146176,0.260310559,0.087584782,1.169483932,5.038500575,1.333539275
TgiE -dox 48h,4,0.238303801,1.169377253,0.375261951,1.354706809,9.76469355,6.035157487
TgiE +dox 6h,4,0.192745007,1.003374323,0.211432676,1.64698527,981.4904199,1.057062704
